"UUID","Name (en)","Unit (en)","UnitGroup UUID"
"20f32be5-0398-4288-9b6d-accddd195317","Use of renewable primary energy (PERE)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"fb3ec0de-548d-4508-aea5-00b73bf6f702","Use of renewable primary energy resources used as raw materials (PERM)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"53f97275-fa8a-4cdd-9024-65936002acd0","Total use of renewable primary energy resources (PERT)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"ac857178-2b45-46ec-892a-a9a4332f0372","Use of non renewable primary energy (PENRE)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"1421caa0-679d-4bf4-b282-0eb850ccae27","Use of non renewable primary energy resources used as raw materials (PENRM)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"06159210-646b-4c8d-8583-da9b3b95a6c1","Total use of non renewable primary energy resource (PENRT)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"c6a1f35f-2d09-4f54-8dfb-97e502e1ce92","Use of secondary material (SM)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"64333088-a55f-4aa2-9a31-c10b07816787","Use of renewable secondary fuels (RSF)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"89def144-d39a-4287-b86f-efde453ddcb2","Use of non renewable secondary fuels (NRSF)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"3cf952c8-f3a4-461d-8c96-96456ca62246","Use of net fresh water (FW)","m3","cd950537-0a98-4044-9ba7-9f9a68d0a504"
"430f9e0f-59b2-46a0-8e0d-55e0e84948fc","Hazardous waste disposed (HWD)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"b29ef66b-e286-4afa-949f-62f1a7b4d7fa","Non hazardous waste dispose (NHWD)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"3449546e-52ad-4b39-b809-9fb77cea8ff6","Radioactive waste disposed (RWD)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"a2b32f97-3fc7-4af2-b209-525bc6426f33","Components for re-use (CRU)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"d7fe48a5-4103-49c8-9aae-b0b5dfdbd6ae","Materials for recycling (MFR)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"59a9181c-3aaf-46ee-8b13-2b3723b6e447","Materials for energy recovery (MER)","kg","ad38d542-3fe9-439d-9b95-2f5f7752acaf"
"4da0c987-2b76-40d6-9e9e-82a017aaaf29","Exported electrical energy (EEE)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"98daf38a-7a79-46d3-9a37-2b7bd0955810","Exported thermal energy (EET)","MJ","93a60a57-a3c8-11da-a746-0800200c9a66"
"b5c611c6-def3-11e6-bf01-fe55135034f3","Acidification potential, Accumulated Exceedance (AP)","mol H+ eqv.","42e089ac-92bf-4bf2-8ca1-5fc40d18f2ed"
"6a37f984-a4b3-458a-a20a-64418c145fa2","Global Warming Potential - total (GWP-total)","kg CO2 eqv.","1ebf3012-d0db-4de2-aefd-ef30cedb0be1"
"2356e1ab-0185-4db5-86e5-16de51c7485c","Global Warming Potential - biogenic (GWP-biogenic)","kg CO2 eqv.","1ebf3012-d0db-4de2-aefd-ef30cedb0be1"
"5f635281-343e-44fb-83df-1971b155e6b6","Global Warming Potential - fossil fuels (GWP-fossil)","kg CO2 eqv.","1ebf3012-d0db-4de2-aefd-ef30cedb0be1"
"4331bbdb-978a-490d-8707-eeb047f01a55","Global Warming Potential - land use and land use change (GWP-luluc)","kg CO2 eqv.","1ebf3012-d0db-4de2-aefd-ef30cedb0be1"
"ee1082d1-b0f7-43ca-a1f0-21e2a4a74511","Potential Comparative Toxic Unit for ecosystems (ETP-fw)","CTUe","aa959ded-f1eb-4efb-9c5c-2d60be36b3e6"
"b5c602c6-def3-11e6-bf01-fe55135034f3","Potential incidence of disease due to PM emissions (PM)","disease incidence","3883559b-648f-4afc-8ba2-0bd24f3affa3"
"b5c619fa-def3-11e6-bf01-fe55135034f3","Eutrophication potential - marine (EP-marine)","kg N eqv.","d05bb823-ecdf-4686-8c40-bf1d9257859f"
