ecoinvent Database Version,Name,UUID,version
all,ecoinvent database (general),b497a91f-e14b-4b69-8f28-f50eb1576766,
2.0,ecoinvent 2.0 database,67e57f6b-53d2-4adb-a5db-7e8157ce5865,
2.1,ecoinvent 2.1 database,dd4ba261-1847-4d00-a9c0-7e81a3402dae,
2.2,ecoinvent 2.2 database,9ffadc15-4649-4871-b565-cee8197b17e9,
3.0,ecoinvent 3.0 database,ae9fac17-61c1-4776-947a-0fc2865954ff,
3.1,ecoinvent 3.1 database,44df4cc3-a75f-4e13-a37a-971dadc97b35,
3.2,ecoinvent 3.2 database,d82a6cdc-1930-4a8a-9b07-2f7fda03fcbd,
3.3,ecoinvent 3.3 database,c667cc42-12a7-4d92-9d7b-5e4e90a7a274,
3.4,ecoinvent 3.4 database,db59e0c6-db9a-4d9a-8637-67b8ed42415c,
3.5,ecoinvent 3.5 database,ca0da4f4-c837-4005-9c17-e77b9bd09d8b,
3.6,ecoinvent 3.6 database,766b9973-5ee8-48a2-8098-72c8e20b369f,
3.7,ecoinvent 3.7 database,de2729d9-235e-4588-8dd0-dba6a1d1f2e1,
3.7.1,ecoinvent 3.7.1 database,3a4d6cdd-46ad-4ff3-8452-a0323e94f789,
3.8,ecoinvent 3.8 database,0f4c65c0-6210-450f-b886-82bf8dd5ace9,
3.9,ecoinvent 3.9 database,c6825ce7-2951-4e1e-8634-426c7af4679b,
3.9.1,ecoinvent 3.9.1 database,e2034c8f-9d74-46f2-8fce-1f0c5c5cebeb,
3.10,ecoinvent 3.10 database,6edab576-5247-472f-a2f4-0cb84561ca8b,

